,null_count,count,unique,top,freq,mean,min,25%,50%,75%,max,std,variance_targets
Date,0,1205,,,,2024-04-10 09:10:54.273858816,2022-09-03 00:00:00,2023-05-13 00:00:00,2024-03-30 00:00:00,2025-01-18 00:00:00,2025-12-04 00:00:00,,
HomeTeam,0,1205,25,Aston Villa,62,,,,,,,,
AwayTeam,0,1205,25,Bournemouth,62,,,,,,,,
FTHG,0,1205.0,,,,1.64149377593361,0.0,1.0,1.0,2.0,7.0,1.3291784585801816,
FTAG,0,1205.0,,,,1.3701244813278008,0.0,0.0,1.0,2.0,8.0,1.2243801338090552,
HY,0,1205.0,,,,1.7908713692946059,0.0,1.0,2.0,3.0,7.0,1.3410524159322068,
AY,0,1205.0,,,,2.1178423236514523,0.0,1.0,2.0,3.0,8.0,1.395075103076473,
HR,0,1205.0,,,,0.05975103734439834,0.0,0.0,0.0,0.0,2.0,0.2474083697478022,
AR,0,1205.0,,,,0.05726141078838174,0.0,0.0,0.0,0.0,2.0,0.2359841248665637,
HC,0,1205.0,,,,5.683817427385892,0.0,3.0,5.0,8.0,17.0,3.1396794014752833,
AC,0,1205.0,,,,4.6846473029045645,0.0,3.0,4.0,6.0,19.0,2.8903215134449725,
HO,1205,0.0,,,,,,,,,,,
AO,1205,0.0,,,,,,,,,,,
total_goals,0,1205.0,,,,3.0116182572614107,0.0,2.0,3.0,4.0,9.0,1.6838684855839565,2.835413076742807
total_cards,0,1205.0,,,,4.025726141078838,0.0,3.0,4.0,5.0,14.0,2.14897845035461,4.618108380088501
total_corners,0,1205.0,,,,10.368464730290457,2.0,8.0,10.0,13.0,21.0,3.444915563405855,11.867443238995879
total_offsides,0,1205.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_avg_goals,0,1205.0,,,,1.4934439834024897,0.0,1.0,1.4,1.8,4.8,0.6724763377309566,
home_avg_cards,0,1205.0,,,,2.0366804979253113,0.2,1.6,2.0,2.4,4.4,0.6951294257890098,
home_avg_corners,0,1205.0,,,,5.157842323651452,1.4,4.0,5.0,6.2,10.8,1.5663239626106782,
home_avg_offsides,0,1205.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
away_avg_goals,0,1205.0,,,,1.5176763485477176,0.0,1.0,1.4,2.0,4.6,0.6684100573729326,
away_avg_cards,0,1205.0,,,,1.9953526970954358,0.0,1.6,2.0,2.4,4.6,0.6973454502586628,
away_avg_corners,0,1205.0,,,,5.241659751037345,1.6,4.0,5.2,6.2,10.8,1.576601300755244,
away_avg_offsides,0,1205.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
home_is_Arsenal,0,1205.0,,,,0.05062240663900415,0.0,0.0,0.0,0.0,1.0,0.21931642743921767,
away_is_Arsenal,0,1205.0,,,,0.051452282157676346,0.0,0.0,0.0,0.0,1.0,0.22101013661571514,
home_is_Aston Villa,0,1205.0,,,,0.051452282157676346,0.0,0.0,0.0,0.0,1.0,0.22101013661571514,
away_is_Aston Villa,0,1205.0,,,,0.04896265560165975,0.0,0.0,0.0,0.0,1.0,0.21587957167834332,
home_is_Bournemouth,0,1205.0,,,,0.05062240663900415,0.0,0.0,0.0,0.0,1.0,0.21931642743921764,
away_is_Bournemouth,0,1205.0,,,,0.051452282157676346,0.0,0.0,0.0,0.0,1.0,0.2210101366157151,
home_is_Brentford,0,1205.0,,,,0.051452282157676346,0.0,0.0,0.0,0.0,1.0,0.2210101366157151,
away_is_Brentford,0,1205.0,,,,0.04979253112033195,0.0,0.0,0.0,0.0,1.0,0.2176063686378325,
home_is_Brighton,0,1205.0,,,,0.04979253112033195,0.0,0.0,0.0,0.0,1.0,0.2176063686378325,
away_is_Brighton,0,1205.0,,,,0.05062240663900415,0.0,0.0,0.0,0.0,1.0,0.21931642743921764,
home_is_Burnley,0,1205.0,,,,0.017427385892116183,0.0,0.0,0.0,0.0,1.0,0.1309117811051177,
away_is_Burnley,0,1205.0,,,,0.02074688796680498,0.0,0.0,0.0,0.0,1.0,0.14259498146228985,
home_is_Chelsea,0,1205.0,,,,0.05062240663900415,0.0,0.0,0.0,0.0,1.0,0.21931642743921764,
away_is_Chelsea,0,1205.0,,,,0.05062240663900415,0.0,0.0,0.0,0.0,1.0,0.21931642743921764,
home_is_Crystal Palace,0,1205.0,,,,0.04979253112033195,0.0,0.0,0.0,0.0,1.0,0.2176063686378325,
away_is_Crystal Palace,0,1205.0,,,,0.05062240663900415,0.0,0.0,0.0,0.0,1.0,0.21931642743921764,
